name,country,logo_url,categories,statuses,is_global,partner_url
Odoo,Global,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/651faed4cfa1bf188297fcac_odoo.png,POS Systems,Live,True,https://www.urbanpiper.com/integrations
Ordable,United Arab Emirates,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/66347557a7732b4667d5ec8e_ordable-foodics-marketplace-logo.webp,Online Ordering,Live,False,https://www.urbanpiper.com/integrations
Ordable,Kuwait,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/66347557a7732b4667d5ec8e_ordable-foodics-marketplace-logo.webp,Online Ordering,Live,False,https://www.urbanpiper.com/integrations
OrderSune,Bahrain,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/690aed7b4708a653ed098ddc_Untitled%20design%20(55).png,POS Systems,Upcoming,False,https://www.urbanpiper.com/integrations
OrderSune,Egypt,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/690aed7b4708a653ed098ddc_Untitled%20design%20(55).png,POS Systems,Upcoming,False,https://www.urbanpiper.com/integrations
OrderSune,Jordan,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/690aed7b4708a653ed098ddc_Untitled%20design%20(55).png,POS Systems,Upcoming,False,https://www.urbanpiper.com/integrations
OrderSune,Kuwait,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/690aed7b4708a653ed098ddc_Untitled%20design%20(55).png,POS Systems,Upcoming,False,https://www.urbanpiper.com/integrations
OrderSune,Oman,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/690aed7b4708a653ed098ddc_Untitled%20design%20(55).png,POS Systems,Upcoming,False,https://www.urbanpiper.com/integrations
Orderable,Saudi Arabia,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/671a1d9980c059ebb28f3855_Orderable%20logo.webp,Delivery platforms,Live,False,https://www.urbanpiper.com/integrations
PAR Brink,India,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65a8e45eb9947f3a1ea403df_PAR_BIG-74be83d4%20(1).webp,POS Systems,Live,False,https://www.urbanpiper.com/integrations
Phenix POS,Bahrain,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/685b90b9dd6c431b892273de_Phenix%20POS%20logo.webp,POS Systems,Live,False,https://www.urbanpiper.com/integrations
Phenix POS,Egypt,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/685b90b9dd6c431b892273de_Phenix%20POS%20logo.webp,POS Systems,Live,False,https://www.urbanpiper.com/integrations
Phenix POS,Jordan,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/685b90b9dd6c431b892273de_Phenix%20POS%20logo.webp,POS Systems,Live,False,https://www.urbanpiper.com/integrations
Phenix POS,Kuwait,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/685b90b9dd6c431b892273de_Phenix%20POS%20logo.webp,POS Systems,Live,False,https://www.urbanpiper.com/integrations
Phenix POS,Oman,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/685b90b9dd6c431b892273de_Phenix%20POS%20logo.webp,POS Systems,Live,False,https://www.urbanpiper.com/integrations
Phylo POS,India,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65697baea8418071be599236_phylopay-logo-6569797b66c8c.webp,POS Systems,Live,False,https://www.urbanpiper.com/integrations
Polaris Technology,United Arab Emirates,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65dc613f257517ba67d6a6ff_polaris-logo.jpg,POS Systems,Live,False,https://www.urbanpiper.com/integrations
PosBytz,Saudi Arabia,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/67cfea40457d16ac3c177e76_posbytz-logo.png,POS Systems,Live,False,https://www.urbanpiper.com/integrations
PosBytz,Bahrain,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/67cfea40457d16ac3c177e76_posbytz-logo.png,POS Systems,Live,False,https://www.urbanpiper.com/integrations
PosBytz,Qatar,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/67cfea40457d16ac3c177e76_posbytz-logo.png,POS Systems,Live,False,https://www.urbanpiper.com/integrations
